id,begin_date,end_date,type,paperless_billing,payment_method,monthly_charges,total_charges,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,multiple_lines,target
857,2017-12-01,,One year,No,Credit card (automatic),19.8,457.3,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,
858,2014-10-01,,Two year,No,Bank transfer (automatic),93.4,5822.3,Fiber optic,Yes,No,Yes,No,No,Yes,Male,0,Yes,Yes,Yes,
859,2018-04-01,2019-12-01,Month-to-month,Yes,Electronic check,73.65,1463.5,Fiber optic,No,Yes,No,No,No,No,Male,1,Yes,No,No,
860,2019-09-01,2019-12-01,Month-to-month,Yes,Electronic check,95.1,307.4,Fiber optic,No,Yes,No,No,Yes,Yes,Female,0,No,No,No,
861,2018-03-01,2020-01-01,Month-to-month,Yes,Credit card (automatic),94.65,2104.55,Fiber optic,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,
862,2019-08-01,2019-12-01,Month-to-month,Yes,Mailed check,80.6,319.15,Fiber optic,No,No,Yes,Yes,No,No,Male,0,Yes,No,No,
863,2014-12-01,,Two year,Yes,Bank transfer (automatic),39.0,2337.45,DSL,No,No,No,Yes,Yes,No,Male,0,Yes,No,No,
864,2019-09-01,,Month-to-month,Yes,Mailed check,20.5,104.3,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,
865,2014-11-01,2019-10-01,One year,No,Electronic check,85.55,5084.65,Fiber optic,No,No,No,No,No,Yes,Male,0,Yes,No,Yes,
866,2019-11-01,,Two year,Yes,Mailed check,26.4,121.25,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,Yes,
867,2014-02-01,,Two year,Yes,Bank transfer (automatic),98.2,7015.9,Fiber optic,Yes,No,Yes,Yes,Yes,No,Female,0,Yes,No,Yes,
868,2015-05-01,,One year,Yes,Credit card (automatic),97.55,5598.0,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,Yes,Yes,No,
869,2014-08-01,,Two year,No,Credit card (automatic),19.95,1269.1,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,No,
870,2014-11-01,2019-11-01,Month-to-month,Yes,Electronic check,50.8,3027.4,DSL,No,Yes,No,No,Yes,Yes,Female,0,No,No,No,
871,2016-05-01,,Two year,No,Bank transfer (automatic),99.7,4634.35,Fiber optic,No,No,Yes,No,Yes,Yes,Male,0,No,Yes,Yes,
872,2019-11-01,,Month-to-month,Yes,Credit card (automatic),34.8,113.95,DSL,No,No,No,No,Yes,No,Female,0,No,No,No,
873,2018-08-01,2019-11-01,Month-to-month,No,Electronic check,105.1,1582.75,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Female,0,No,No,No,
874,2015-11-01,,One year,No,Bank transfer (automatic),60.15,3077.0,DSL,Yes,No,Yes,Yes,Yes,Yes,Female,0,No,Yes,No,
875,2015-02-01,,One year,No,Electronic check,64.75,4039.5,DSL,Yes,No,Yes,Yes,No,No,Female,0,No,No,Yes,
876,2017-05-01,,Month-to-month,Yes,Bank transfer (automatic),54.65,1665.2,DSL,No,Yes,No,No,No,No,Male,0,No,No,Yes,
877,2019-03-01,2020-01-01,Month-to-month,Yes,Electronic check,110.1,1043.3,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,No,No,No,
878,2017-12-01,,One year,No,Credit card (automatic),19.3,504.2,Fiber optic,No,No,No,No,No,No,Male,1,No,No,No,
879,2019-04-01,2019-10-01,Month-to-month,No,Electronic check,83.9,497.55,Fiber optic,No,No,Yes,No,No,Yes,Female,0,No,No,No,
880,2014-07-01,,One year,Yes,Electronic check,111.25,7511.65,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,
881,2016-01-01,,One year,Yes,Credit card (automatic),35.8,1782.0,DSL,Yes,No,No,Yes,No,No,Female,0,Yes,Yes,No,
882,2020-01-01,,Month-to-month,Yes,Mailed check,20.05,20.05,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,
883,2019-07-01,,Month-to-month,Yes,Electronic check,84.35,609.65,Fiber optic,No,No,Yes,No,Yes,No,Female,1,No,No,No,
884,2017-11-01,,One year,Yes,Bank transfer (automatic),110.5,2857.6,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,1,No,No,Yes,
885,2017-01-01,,One year,No,Credit card (automatic),91.2,3247.55,Fiber optic,No,No,No,No,Yes,Yes,Male,0,Yes,Yes,No,
886,2014-07-01,2019-10-01,Month-to-month,Yes,Electronic check,100.55,6215.35,Fiber optic,Yes,Yes,Yes,No,Yes,No,Female,0,Yes,Yes,Yes,
887,2017-07-01,,Month-to-month,No,Electronic check,89.3,2823.0,Fiber optic,Yes,No,Yes,Yes,No,No,Male,0,Yes,Yes,Yes,
888,2015-10-01,2019-12-01,Month-to-month,Yes,Bank transfer (automatic),103.85,5017.9,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,Yes,Yes,Yes,
889,2017-06-01,,Month-to-month,Yes,Credit card (automatic),81.1,2619.25,Fiber optic,No,No,Yes,No,No,No,Male,1,No,No,Yes,
890,2019-10-01,2019-11-01,Month-to-month,No,Electronic check,24.6,24.6,DSL,No,No,No,No,No,No,Female,0,No,No,No,
891,2014-11-01,,One year,Yes,Credit card (automatic),81.2,4965.1,Fiber optic,No,No,No,Yes,No,No,Female,0,Yes,No,Yes,
892,2017-08-01,,Month-to-month,Yes,Credit card (automatic),94.3,2679.7,Fiber optic,Yes,Yes,No,No,No,Yes,Male,0,No,No,Yes,
893,2014-03-01,,Two year,Yes,Bank transfer (automatic),116.1,8310.55,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,
894,2015-09-01,,Two year,No,Electronic check,105.55,5682.25,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,0,No,No,Yes,
895,2018-11-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),98.9,1120.95,Fiber optic,Yes,No,No,Yes,Yes,Yes,Female,0,No,No,No,
1317,2017-06-01,,One year,No,Mailed check,94.8,3131.55,Fiber optic,Yes,Yes,Yes,No,No,Yes,Male,0,Yes,Yes,No,
896,2015-12-01,,Month-to-month,Yes,Credit card (automatic),94.4,4914.9,Fiber optic,Yes,Yes,No,No,No,Yes,Male,0,Yes,No,Yes,
897,2019-12-01,,Month-to-month,No,Mailed check,19.5,27.55,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,
898,2019-03-01,2019-12-01,Month-to-month,No,Credit card (automatic),98.3,923.5,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,No,No,Yes,
899,2018-06-01,2019-11-01,Month-to-month,No,Electronic check,93.85,1625.65,Fiber optic,Yes,No,No,No,Yes,Yes,Male,0,No,No,No,
900,2015-06-01,,One year,Yes,Credit card (automatic),105.6,6068.65,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,0,Yes,No,No,
901,2014-07-01,,Two year,No,Credit card (automatic),81.35,5398.6,DSL,Yes,Yes,Yes,No,Yes,Yes,Male,0,Yes,Yes,No,
902,2019-02-01,2019-11-01,Month-to-month,Yes,Electronic check,100.5,918.6,Fiber optic,No,No,Yes,No,Yes,Yes,Male,1,No,No,Yes,
903,2019-10-01,,Month-to-month,Yes,Electronic check,56.4,234.85,DSL,No,No,No,No,Yes,No,Male,0,No,No,No,
904,2018-07-01,,One year,Yes,Bank transfer (automatic),65.35,1231.85,DSL,No,Yes,No,Yes,No,Yes,Male,0,No,No,No,
905,2019-06-01,,Month-to-month,No,Mailed check,19.95,170.9,Fiber optic,No,No,No,No,No,No,Female,0,No,Yes,No,
906,2014-03-01,,Two year,Yes,Electronic check,111.25,7984.15,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,
907,2018-12-01,2019-10-01,Month-to-month,Yes,Electronic check,72.85,688.65,Fiber optic,No,Yes,No,No,No,No,Male,1,No,No,No,
908,2018-11-01,,Month-to-month,No,Credit card (automatic),89.0,1288.3,Fiber optic,No,Yes,No,No,Yes,No,Female,1,No,No,Yes,
909,2014-02-01,,One year,Yes,Bank transfer (automatic),106.1,7848.5,Fiber optic,Yes,No,Yes,No,Yes,Yes,Male,0,Yes,Yes,Yes,
910,2019-02-01,,One year,No,Credit card (automatic),20.05,267.0,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,
911,2014-02-01,,Two year,Yes,Bank transfer (automatic),25.2,1798.9,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,
912,2019-12-01,2020-01-01,Month-to-month,Yes,Electronic check,73.55,73.55,Fiber optic,No,No,No,No,No,No,Male,1,Yes,No,Yes,
913,2018-03-01,,Month-to-month,Yes,Bank transfer (automatic),75.4,1643.55,Fiber optic,Yes,No,No,No,No,No,Female,1,No,No,No,
914,2014-02-01,,Two year,Yes,Bank transfer (automatic),65.55,4807.45,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,No,No,No,
915,2017-12-01,,Month-to-month,Yes,Electronic check,80.7,2193.0,Fiber optic,No,No,Yes,No,No,No,Female,0,No,No,Yes,
916,2018-05-01,,One year,Yes,Mailed check,104.55,2239.4,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,No,
917,2015-02-01,,One year,No,Bank transfer (automatic),24.15,1505.9,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,Yes,
918,2019-02-01,,Month-to-month,No,Mailed check,20.45,255.35,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,
919,2018-10-01,,Month-to-month,Yes,Electronic check,75.4,1189.4,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,Yes,
920,2014-11-01,,One year,Yes,Credit card (automatic),79.7,4786.15,DSL,Yes,Yes,No,No,Yes,Yes,Female,0,Yes,No,Yes,
921,2018-04-01,,Month-to-month,No,Electronic check,81.7,1820.9,Fiber optic,Yes,Yes,No,No,No,No,Female,1,No,No,No,
922,2017-06-01,,Month-to-month,No,Bank transfer (automatic),76.3,2404.15,DSL,Yes,Yes,Yes,Yes,No,Yes,Female,0,Yes,Yes,No,
923,2019-09-01,2019-12-01,Month-to-month,Yes,Electronic check,79.4,205.05,Fiber optic,No,Yes,No,No,No,No,Female,1,No,No,Yes,
924,2018-09-01,2019-10-01,Month-to-month,Yes,Electronic check,81.15,952.3,Fiber optic,No,Yes,Yes,No,No,No,Female,0,No,No,No,
925,2014-06-01,,Two year,Yes,Credit card (automatic),103.75,7039.45,Fiber optic,No,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,
926,2017-08-01,,One year,No,Electronic check,86.45,2538.05,Fiber optic,No,No,Yes,No,No,Yes,Female,0,Yes,Yes,No,
927,2018-10-01,,Month-to-month,No,Bank transfer (automatic),75.1,1212.85,Fiber optic,No,Yes,No,No,No,No,Female,0,No,No,No,
928,2017-05-01,,Two year,No,Bank transfer (automatic),80.6,2651.1,Fiber optic,No,Yes,No,Yes,No,No,Male,0,No,No,No,
929,2014-02-01,,Two year,No,Credit card (automatic),19.3,1304.8,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,No,
930,2019-08-01,2019-12-01,Month-to-month,Yes,Electronic check,84.6,360.1,Fiber optic,No,No,No,No,No,Yes,Female,1,No,No,Yes,
931,2019-02-01,,One year,Yes,Mailed check,33.6,435.45,DSL,Yes,No,No,Yes,No,No,Female,0,No,No,No,
932,2019-10-01,,Month-to-month,Yes,Electronic check,83.25,308.05,Fiber optic,No,No,No,No,Yes,No,Female,1,Yes,No,Yes,
933,2020-02-01,,Two year,No,Mailed check,80.85,2291.023009417808,DSL,Yes,Yes,Yes,No,Yes,Yes,Female,0,Yes,Yes,No,
934,2019-04-01,2019-10-01,Month-to-month,Yes,Electronic check,79.05,434.5,Fiber optic,Yes,No,No,No,No,No,Female,0,No,No,Yes,
935,2014-09-01,,One year,Yes,Credit card (automatic),108.05,7118.9,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,
936,2018-11-01,,Month-to-month,No,Mailed check,19.9,320.45,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,
937,2018-02-01,,One year,No,Bank transfer (automatic),21.05,531.55,Fiber optic,No,No,No,No,No,No,Female,0,No,Yes,No,
938,2019-01-01,,Month-to-month,No,Electronic check,30.15,382.2,DSL,No,Yes,No,No,No,No,Female,0,No,Yes,No,
939,2018-02-01,,Month-to-month,Yes,Credit card (automatic),79.85,2001.0,Fiber optic,No,No,No,No,No,Yes,Male,0,No,No,No,
940,2014-02-01,,Two year,No,Bank transfer (automatic),65.5,4919.7,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,No,
941,2015-08-01,,Month-to-month,Yes,Bank transfer (automatic),104.1,5645.8,Fiber optic,Yes,Yes,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,
1318,2015-02-01,,One year,Yes,Bank transfer (automatic),65.85,3928.3,DSL,Yes,Yes,Yes,Yes,No,No,Male,0,Yes,Yes,No,
942,2019-09-01,2019-12-01,Month-to-month,No,Bank transfer (automatic),74.4,215.8,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,
943,2019-10-01,,Month-to-month,Yes,Mailed check,20.5,77.6,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,
944,2017-06-01,,Month-to-month,Yes,Mailed check,91.35,2896.55,Fiber optic,No,No,Yes,No,Yes,No,Female,1,Yes,Yes,Yes,
945,2017-02-01,2020-01-01,Month-to-month,Yes,Electronic check,99.05,3395.8,Fiber optic,No,No,Yes,No,Yes,Yes,Male,1,No,No,Yes,
946,2017-03-01,,Two year,No,Bank transfer (automatic),20.5,759.35,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,
947,2019-08-01,2019-10-01,Month-to-month,No,Mailed check,44.95,85.15,DSL,No,No,No,No,No,No,Male,1,No,No,No,
948,2019-06-01,,Month-to-month,No,Electronic check,75.6,535.55,Fiber optic,No,Yes,No,No,No,No,Female,0,No,No,No,
949,2018-04-01,,Month-to-month,No,Mailed check,55.1,1253.15,DSL,Yes,No,No,Yes,No,No,Male,0,No,No,No,
950,2018-11-01,,Month-to-month,No,Electronic check,58.95,955.15,DSL,Yes,No,Yes,Yes,No,No,Female,0,No,No,No,
951,2018-04-01,,Month-to-month,Yes,Electronic check,95.1,2162.6,Fiber optic,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,
952,2019-11-01,2019-12-01,Month-to-month,No,Credit card (automatic),44.7,44.7,DSL,No,No,No,No,No,No,Male,0,Yes,No,No,
953,2014-03-01,,Two year,No,Bank transfer (automatic),25.45,1813.35,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,
954,2019-10-01,,Month-to-month,No,Electronic check,56.75,245.15,DSL,Yes,No,Yes,No,No,No,Male,0,No,No,No,
955,2018-01-01,,Month-to-month,No,Bank transfer (automatic),81.75,2028.8,DSL,Yes,Yes,Yes,Yes,No,Yes,Male,0,No,No,Yes,
956,2017-06-01,,Month-to-month,Yes,Electronic check,86.1,2723.75,Fiber optic,No,Yes,No,No,Yes,No,Female,0,Yes,Yes,No,
957,2019-07-01,,Month-to-month,No,Bank transfer (automatic),29.8,220.45,DSL,Yes,No,No,No,No,No,Male,1,Yes,No,No,
958,2018-09-01,,One year,Yes,Mailed check,20.5,365.8,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,
959,2019-06-01,,Month-to-month,No,Bank transfer (automatic),60.9,551.95,DSL,Yes,No,No,No,Yes,No,Male,1,Yes,No,No,
960,2015-06-01,,Two year,No,Bank transfer (automatic),73.25,4054.2,DSL,Yes,No,Yes,Yes,No,Yes,Female,1,No,No,Yes,
961,2019-12-01,2020-01-01,Month-to-month,Yes,Mailed check,45.7,45.7,DSL,No,No,No,No,No,No,Male,0,No,No,No,
962,2019-03-01,2019-11-01,Month-to-month,No,Credit card (automatic),100.3,832.35,Fiber optic,Yes,No,No,Yes,Yes,Yes,Male,1,No,No,No,
963,2019-04-01,2019-11-01,Month-to-month,No,Electronic check,19.25,112.3,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,
964,2019-11-01,,Month-to-month,No,Mailed check,20.85,60.65,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,No,
965,2014-03-01,,Two year,No,Credit card (automatic),77.35,5550.1,DSL,Yes,Yes,Yes,Yes,Yes,No,Female,0,No,No,No,
966,2019-09-01,2019-11-01,Month-to-month,Yes,Electronic check,96.0,174.8,Fiber optic,No,No,No,No,Yes,Yes,Female,0,No,No,Yes,
967,2019-10-01,2019-11-01,Month-to-month,No,Electronic check,90.55,90.55,Fiber optic,No,No,No,No,Yes,Yes,Female,0,No,No,No,
968,2016-01-01,,Month-to-month,Yes,Bank transfer (automatic),93.85,4733.1,Fiber optic,Yes,Yes,No,No,Yes,No,Male,0,Yes,No,Yes,
969,2015-04-01,,Two year,No,Bank transfer (automatic),70.1,4048.95,DSL,No,Yes,Yes,Yes,Yes,No,Male,0,No,No,No,
970,2016-02-01,2019-10-01,Month-to-month,Yes,Electronic check,30.35,1359.7,DSL,No,Yes,No,No,No,No,Male,1,Yes,No,No,
971,2015-03-01,,Two year,Yes,Credit card (automatic),75.95,4542.35,DSL,No,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,No,
972,2013-11-01,2019-10-01,Two year,Yes,Electronic check,108.05,7532.15,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Male,0,No,No,Yes,
973,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,69.9,69.9,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,
974,2019-03-01,,Month-to-month,No,Electronic check,75.25,888.65,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,
975,2014-11-01,2020-01-01,One year,Yes,Electronic check,103.75,6383.35,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,1,Yes,No,Yes,
976,2017-03-01,,One year,Yes,Bank transfer (automatic),54.95,1916.0,DSL,Yes,No,No,Yes,No,No,Female,0,Yes,Yes,No,
977,2018-06-01,,Month-to-month,Yes,Bank transfer (automatic),19.5,413.0,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,
978,2016-10-01,,Two year,No,Mailed check,19.6,808.95,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,
979,2016-11-01,,One year,Yes,Electronic check,47.85,1886.4,DSL,Yes,No,No,No,No,No,Female,0,No,No,No,
980,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,86.6,86.6,Fiber optic,No,No,No,No,No,Yes,Male,0,No,No,Yes,
981,2014-02-01,,Two year,No,Bank transfer (automatic),23.75,1679.25,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,
982,2017-03-01,2019-12-01,Month-to-month,Yes,Bank transfer (automatic),80.6,2656.5,Fiber optic,No,Yes,No,No,No,No,Female,1,Yes,No,Yes,
983,2019-02-01,,Month-to-month,No,Bank transfer (automatic),43.8,540.95,DSL,No,No,No,No,No,No,Female,0,No,No,No,
984,2020-01-01,,Month-to-month,No,Bank transfer (automatic),19.75,19.75,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,
985,2017-11-01,,Month-to-month,No,Mailed check,19.15,537.35,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,No,
986,2017-04-01,,One year,No,Credit card (automatic),19.6,678.8,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,
987,2015-06-01,,Two year,No,Bank transfer (automatic),80.3,4513.65,Fiber optic,Yes,No,Yes,No,No,No,Female,0,Yes,No,No,
988,2015-04-01,,Two year,No,Credit card (automatic),24.35,1423.85,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,
989,2018-04-01,,Two year,No,Credit card (automatic),25.25,555.4,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,
990,2019-04-01,,Two year,No,Credit card (automatic),26.1,225.55,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,
991,2019-01-01,,Two year,No,Credit card (automatic),20.0,268.45,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,
992,2017-01-01,2019-12-01,Month-to-month,No,Credit card (automatic),85.3,2917.5,Fiber optic,No,Yes,No,Yes,No,No,Female,0,No,No,Yes,
993,2017-03-01,2020-01-01,Month-to-month,Yes,Credit card (automatic),70.0,2416.1,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,
994,2019-09-01,2020-01-01,Month-to-month,Yes,Electronic check,94.3,424.45,Fiber optic,No,No,No,No,Yes,Yes,Female,1,No,No,Yes,
995,2014-02-01,,Two year,No,Bank transfer (automatic),20.7,1492.1,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,No,
996,2019-12-01,,Month-to-month,No,Electronic check,70.3,132.4,DSL,No,No,No,Yes,Yes,Yes,Male,0,No,No,No,
997,2019-04-01,2019-11-01,Month-to-month,Yes,Electronic check,95.35,660.9,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,No,No,No,
998,2017-08-01,2019-11-01,Month-to-month,Yes,Electronic check,75.5,1893.95,Fiber optic,No,No,No,No,No,No,Male,1,Yes,No,Yes,
999,2019-10-01,,Month-to-month,Yes,Mailed check,69.55,284.9,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,
1000,2017-01-01,,Two year,No,Mailed check,19.85,784.25,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,
1001,2018-05-01,,Month-to-month,No,Mailed check,20.0,417.7,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,
1002,2015-09-01,,One year,Yes,Credit card (automatic),95.85,5016.25,Fiber optic,No,No,No,No,Yes,Yes,Female,1,Yes,No,Yes,
1003,2018-06-01,2019-12-01,Month-to-month,Yes,Electronic check,90.1,1612.75,Fiber optic,No,No,No,Yes,No,Yes,Female,0,No,No,Yes,
1004,2019-11-01,2020-01-01,Month-to-month,No,Electronic check,68.95,119.75,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,
1005,2017-02-01,2019-10-01,Month-to-month,Yes,Credit card (automatic),99.55,3204.65,Fiber optic,Yes,No,No,No,Yes,Yes,Male,0,Yes,Yes,Yes,
1006,2018-03-01,,One year,Yes,Electronic check,20.75,485.2,Fiber optic,No,No,No,No,No,No,Male,1,Yes,No,No,
1007,2019-11-01,,Month-to-month,Yes,Mailed check,50.15,160.85,DSL,Yes,No,No,No,No,No,Male,0,No,No,No,
1008,2014-03-01,,Two year,No,Mailed check,58.65,4145.25,DSL,Yes,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,No,
1009,2019-05-01,,Month-to-month,Yes,Bank transfer (automatic),95.9,827.45,Fiber optic,No,No,No,Yes,Yes,Yes,Male,0,No,No,No,
1010,2020-01-01,,Month-to-month,No,Electronic check,49.5,49.5,DSL,No,Yes,No,No,No,No,Female,0,No,No,No,
1011,2018-07-01,2020-01-01,Month-to-month,No,Electronic check,57.45,990.85,DSL,No,No,Yes,No,No,Yes,Male,0,Yes,Yes,No,
1012,2018-11-01,2019-11-01,One year,No,Credit card (automatic),53.65,696.35,DSL,No,No,No,No,No,Yes,Male,0,Yes,Yes,No,
1013,2014-03-01,,Two year,Yes,Mailed check,80.1,5585.4,DSL,Yes,Yes,Yes,Yes,No,Yes,Male,0,Yes,No,Yes,
1014,2014-10-01,,One year,Yes,Bank transfer (automatic),24.4,1601.2,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,
1015,2019-10-01,,Month-to-month,Yes,Electronic check,40.05,162.45,DSL,No,No,No,Yes,No,Yes,Male,0,No,No,No,
1016,2018-03-01,,Month-to-month,Yes,Mailed check,19.5,470.2,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,
1017,2016-11-01,,Month-to-month,No,Credit card (automatic),51.05,2066.0,DSL,Yes,No,No,No,No,No,Female,0,Yes,Yes,No,
1018,2017-10-01,,One year,No,Mailed check,54.35,1426.45,DSL,Yes,No,No,Yes,No,No,Male,0,Yes,No,No,
1019,2019-09-01,,Month-to-month,Yes,Electronic check,84.7,392.5,Fiber optic,No,Yes,No,No,Yes,No,Female,1,No,No,No,
1020,2016-05-01,,Month-to-month,Yes,Electronic check,86.1,3861.45,Fiber optic,No,No,Yes,No,No,Yes,Female,1,Yes,No,No,
1021,2017-01-01,,Month-to-month,Yes,Mailed check,70.35,2552.9,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,
1022,2015-02-01,,Two year,Yes,Bank transfer (automatic),110.0,6668.35,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,1,Yes,No,No,
1023,2019-04-01,2019-12-01,Month-to-month,Yes,Electronic check,100.6,819.4,Fiber optic,No,No,Yes,No,Yes,Yes,Male,1,No,No,Yes,
1024,2016-03-01,,One year,No,Credit card (automatic),94.9,4615.25,Fiber optic,Yes,No,Yes,No,Yes,No,Female,0,No,No,Yes,
1025,2017-11-01,2020-01-01,Month-to-month,Yes,Electronic check,83.75,2070.6,Fiber optic,No,No,No,No,Yes,No,Male,0,Yes,Yes,Yes,
1026,2019-08-01,2019-11-01,Month-to-month,Yes,Mailed check,88.3,273.75,Fiber optic,Yes,No,No,Yes,Yes,No,Female,1,Yes,Yes,No,
1027,2015-12-01,,Month-to-month,Yes,Bank transfer (automatic),69.75,3557.7,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,
1028,2017-11-01,,Month-to-month,No,Bank transfer (automatic),71.6,1957.1,DSL,No,No,No,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,
1029,2019-02-01,2019-10-01,Month-to-month,Yes,Electronic check,92.1,729.95,Fiber optic,No,No,Yes,No,Yes,Yes,Female,1,No,No,No,
1030,2014-12-01,,Two year,No,Bank transfer (automatic),23.65,1416.75,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,Yes,
1031,2014-03-01,,Two year,No,Bank transfer (automatic),81.85,5924.4,DSL,Yes,No,Yes,Yes,Yes,Yes,Female,0,Yes,No,No,
1032,2014-08-01,,Two year,No,Mailed check,25.1,1697.7,Fiber optic,No,No,No,No,No,No,Male,0,No,No,Yes,
1033,2014-06-01,,Two year,Yes,Bank transfer (automatic),114.7,7849.85,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,
1034,2019-01-01,,Month-to-month,No,Electronic check,49.15,649.4,DSL,No,No,Yes,No,Yes,Yes,Female,0,No,No,No,
1035,2015-06-01,,One year,Yes,Electronic check,80.9,4557.5,Fiber optic,No,No,No,No,No,Yes,Male,0,Yes,No,No,
1036,2016-10-01,2019-12-01,Month-to-month,Yes,Electronic check,79.45,3013.05,Fiber optic,Yes,Yes,No,No,No,No,Male,0,Yes,No,No,
1037,2018-09-01,2019-11-01,Month-to-month,No,Credit card (automatic),90.45,1266.1,Fiber optic,No,No,No,No,Yes,Yes,Male,1,No,No,No,
1038,2018-10-01,,One year,Yes,Bank transfer (automatic),19.3,360.35,Fiber optic,No,No,No,No,No,No,Female,0,No,Yes,No,
1039,2018-12-01,,Month-to-month,No,Electronic check,70.2,1046.5,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,
1040,2017-02-01,2019-10-01,Month-to-month,Yes,Bank transfer (automatic),69.75,2347.9,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,
1041,2019-06-01,,One year,No,Bank transfer (automatic),54.25,447.75,DSL,Yes,No,No,Yes,No,No,Female,0,No,No,No,
1042,2016-07-01,,Month-to-month,Yes,Bank transfer (automatic),99.3,4209.95,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,Yes,Yes,Yes,
1043,2015-10-01,,One year,No,Credit card (automatic),74.0,3877.65,DSL,Yes,No,Yes,Yes,Yes,No,Female,0,No,No,Yes,
